Monitoring Activity: Monitoring Activity Number,Project Name: Project Name,Monitoring Activity: ID,Comments,Contact,Completed?,Country,Department,Development Summary,DO,ECON Report Completed,ECON,ENV,ENV Report Completed,ENV Summary,Fiscal Year,Follow Up,"If Other Activity type, describe here",Monitoring Activity Date,Maturity Date,Monitoring Activity Type,Project ID,Site Visit Start Date,Site Visit Status,SOC,SOC Report Completed,SOC Summary,US Economic Impact Summary,Visit Number,Visit Reason,Monitoring Activity: Record Type,Monitoring Activity: Owner Role,Monitoring Activity: Last Modified Date,Project Name: Type,Project Name: Project Record Type,Project Name: Lead Source,Project Name: Requested DFC Amount,Project Name: Expected Revenue,Project Name: Won,Project Name: Closed,Project Name: Expected Commitment Date,Project Name: Next Step,Project Name: Process Stage,Project Name: Probability (%),Project Name: Fiscal Period,Project Name: Fiscal Year,Project Name: Age,Project Name: Stage Duration,Project Name: Report Category,Project Name: Description,Project Name: Has Line Item,Project Name: Private,Project Name: Created Date,Project Name: Last Modified Date,Project Name: Last Activity,Project Name: API ID,Project Name: Owner Role,Project Name: Project Owner: Title,Project Name: Project Owner: Company,Project Name: Project Owner: Department,Project Name: Project Owner: Division,Project Name: Project Owner: Profile,Project Name: Project Owner: Active,Project Name: Form 007 Comments,Project Name: Form 007 Status,Project Name: Form 007 GUID,Project Name: Form 007 Intake Number,Project Name: 007 Activation Code,Project Name: Form 007 Exception Detail,Project Name: Form 007 Exception Justification,Project Name: SOC Clearance,Project Name: SOC Is Data Sensitive,Project Name: Social Clearance Date,Project Name: Social Clearance Status,Project Name: Pipeline SOC Clearance Status,Project Name: Associated Fund,Project Name: Environmental Summary,Project Name: Environmental Clearance Notes,Project Name: Environmental Officer,Project Name: ENV Clearance,Project Name: ENV is Data Sensitive,Project Name: Env Category,Project Name: Environmental Clearance Date,Project Name: Environmental Clearance Status,Project Name: Pipeline Environmental Clearance Date,Project Name: Pipeline Environmental Clearance Status,Project Name: ECON IQ Metrics Original,Project Name: ECON IQ Metrics,Project Name: zPipeline Economic Clearance Status,Project Name: Secondary Reason for Termination,Project Name: U.S. Economic Impact:,Project Name: Economic Clearance Notes,Project Name: ECON Clearance,Project Name: ECON Project Info,Project Name: Pipeline Economic Clearance Status,Project Name: Pipeline Economic Clearance Date,Project Name: Economic Clearance Date,Project Name: Economic Clearance Status,Project Name: Secondary Office,"Project Name: ""Development/IQ"" Score",Project Name: IQ Score Total,Project Name: IQ Scoring Classification,Project Name: IQ Scoring Model,Project Name: Development/IQ” Score (proxy),Project Name: Unique Entity ID (SAM),Project Name: Is 008 Eligible,Project Name: Site Monitored,Project Name: Transferred to Monitoring,Project Name: In Monitoring,Project Name: Monitoring Designation,Project Name: Requires ODP Clearance,Project Name: ODP Recieved Date,Project Name: ODP Group,Project Name: U.S. Representative,Project Name: County,Project Name: Project ID,Project Name: Multiple Investors,Project Name: Investor Size SB,Project Name: Investment Committee Status,Project Name: Investment Committee Approval Date,Project Name: Other Investment Insurance Amount,Project Name: Investment Committee Scheduled Date,Project Name: Other Investment Insurance Details,Project Name: Has Equity Investment,Project Name: Board Approval Actual Date,Project Name: Board Approval Scheduled Date,Project Name: Board Approval Status,Project Name: Credit Approval Date,Project Name: Underwriting Approval Date,Project Name: Project Screening Approval Date,Project Name: Evaluation Committee Approval Date,Project Name: Funds Evaluation Committee Approval Date,Project Name: Loan Approval Date,Project Name: Equity Evaluation Committee Approve Date,Project Name: CEO Approval Date,Project Name: TA Approval Date,Project Name: Highest Level of Approval Needed,Project Name: Highest Level Approval Needed Achieved,Project Name: Host Country Income Category,Project Name: Country,Project Name: Host Country,Project Name: Project Countries,Project Name: Host Country Region,Project Name: Single Country Coverage,Project Name: Host Country is Review,Project Name: Host Country Low Income Priority,Project Name: Counts Toward Portfolio Exposure,Project Name: Consent Letter Counter Signed Date,Project Name: Discount Factor Pipeline,Project Name: Host Country Code,Project Name: Project Count Amount,Project Name: Reporting Count,Project Name: Country Income Level,Project Name: Lock Country Income Level,Project Name: Has US  Participant Project Account,Project Name: Reporting Count Notes,Project Name: CN Required for Country Override,Project Name: CN Required for Country,Project Name: Account Name,Project Name: Account Site,Project Name: Account Record Type,Project Name: Account Number,Project Name: Account ID,Project Name: Billing Country,Project Name: Shipping Country,Project Name: Country,Project Name: DFC Account ID,Project Name: Account Id
MA - 000100,RBL Bank,a27eq000000PdZF,,,,India,ODP,,0,0,0,0,0,,2024,,,7/8/2024,2/15/2032,Development Impact Monitoring Review,9000104374,,,0,0,,,,,,Office of Investment Policy,9/16/2024,,SF,,100000000,100000000,1,1,12/31/2021,,Transferred to Monitoring,100,Q1-2022,2022,634,1034,Portfolio,Loan for Tier II capital to alleviate liquidity constraints,0,0,4/6/2020,4/29/2025,,006t0000003Pfhk,,Senior Investment Officer,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,ca20a2e3-b261-43cb-8404-8c35c5cdc60d,37354,,,,SOC-2852,0,10/13/2020,C-Cleared,Clearance Completed,,,,,EN-02852,0,C,10/13/2020,C-Cleared,2020-10-13,Clearance Completed,a21t000000Et9PQ,9000104374-IQ Adjustment Initial Score 2022,,,,,EC-05610,a1It000000B1wUp,Clearance Completed,2021-01-13,1/13/2021,C-Cleared,,120.3,120.28,Highly Developmental,0.1.4,,,0,0,6/30/2022,0,,1,,,,,9000104374,0,0,,10/8/2021,,,,0,11/15/2021,,,10/1/2021,,4/6/2020,,,11/15/2021,,,,Board,0,Middle,,India,India,Asia,0,0,0,1,,,386,,1,Lower Middle Income,1,0,Reporting count updated January 2023,0,0,,,,,,,,,,
MA - 000096,IndusInd Bank - Kinara Capital Private Limited,a27eq00000066tx,,,,India,ODP,,0,0,0,0,0,,2024,,,7/15/2024,10/15/2025,Environmental & Social Compliance Project Evaluation,9000093393,,,0,0,,,,,,Administrative,8/29/2024,,SMEF,,11000000,11000000,1,1,9/20/2019,,Transferred to Monitoring,100,Q4-2019,2019,276,1470,Portfolio,"Expansion of micro and small business loan portfolio serving 18,500 clients in southern India.",0,0,12/18/2018,4/14/2025,,006t00000037D2u,,"Managing Director, Financial Institutions Portfolio Management",,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,ed58863b-fe27-4209-b864-48377c3b4f67,27752,,,,SOC-2562,0,6/17/2019,C-Cleared,Clearance Completed,,,,,EN-02562,0,C,6/17/2019,C-Cleared,2019-06-17,Clearance Completed,a21t000000HGgvY,9000093393 Form_008_Submission_Adjustment 2021,,,,,EC-05310,a1It0000004pYWU,Clearance Completed,2019-06-28,6/28/2019,C-Cleared,,67.5,0,Not Scored,0.1.4,,,0,0,4/20/2021,0,,1,,,,,9000093393,0,0,,,,,,0,,,,8/27/2019,,12/18/2018,,,8/27/2019,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,11000000,1,,0,1,,0,0,Kinara Capital,,SF,,001t000000EcaR6,,,United States,,A-033845
MA - 000095,UC Inclusive Credit Private Limited,a27eq00000066fR,,,,India,ODP,,0,0,0,0,0,,2023,,,7/12/2024,7/15/2028,Environmental & Social Compliance Project Evaluation,9000103750,,,0,0,,,,,,Administrative,8/29/2024,,SMEF,,5000000,5000000,1,1,12/31/2020,,Transferred to Monitoring,100,Q1-2021,2021,505,1161,Portfolio,"UC Inclusive Credit lends to entities focused on agriculture, education, financial inclusion, healthcare, renewable energy, and women empowerment.",0,0,8/14/2019,4/16/2025,,006t0000002b54b,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,93ec8680-7cb6-42f5-a741-95ceeafffd57,33657,,,,SOC-2690,0,6/23/2020,C-Cleared,Clearance Completed,,,,,EN-02690,0,C,6/23/2020,C-Cleared,2020-06-23,Clearance Completed,a21t000000Et9z9,9000103750-IQ Adjustment Initial Score 2021,,,,,EC-05448,a1It0000008c0cT,Clearance Completed,2020-07-02,7/2/2020,C-Cleared,,116.3,116.97,Highly Developmental,0.1.4,,,0,0,2/23/2022,0,,1,,,,,9000103750,0,0,,,,,,0,,,,12/2/2020,,9/6/2019,,,12/2/2020,,,,Sub-IC,0,Middle,,India,India,Asia,0,0,0,1,,,386,,1,Lower Middle Income,0,1,,0,0,Unitus Investment Management,,SF,,001t000000IbsfX,,,United States,,A-034305
MA - 000092,Motilal Oswal Home Finance Limited,a27eq000000622L,,,,India,ODP,,0,0,0,0,0,,2023,,,7/9/2024,12/15/2036,Environmental & Social Compliance Project Evaluation,9000104432,,,0,0,,,,,,Administrative,8/29/2024,,SMEF,,50000000,50000000,1,1,6/1/2021,,Transferred to Monitoring,100,Q3-2021,2021,393,1000,Portfolio,Long term funding for low middle income mortgages throughout India.,0,0,5/4/2020,4/14/2025,,006t0000003QCvz,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,4fa2ef4e-4111-4445-8dd8-fd8fd49b255e,36030,,,,SOC-2846,0,9/16/2020,C-Cleared,Clearance Completed,,,,,EN-02846,0,C,9/16/2020,C-Cleared,2020-09-16,Clearance Completed,a21t000000Et7XS,9000104432-IQ Adjustment Initial Score 2021,,,,,EC-05604,a1It000000ASDfQ,Clearance Completed,2021-01-29,1/29/2021,C-Cleared,,124.7,126,Highly Developmental,0.1.4,,FPKDHWYWFQN4,0,0,8/3/2022,0,,1,,,,,9000104432,0,0,,4/23/2021,,,,0,,,,3/3/2021,,7/16/2020,,,4/23/2021,,,,IC,0,Middle,,India,India,Asia,0,0,0,1,,,386,,1,Lower Middle Income,1,0,,0,0,MOTILAL OSWAL HOME FINANCE LTD,,SF,,001t000000PrejI,,,India,,A-035214
MA - 000091,WBC - Avanse Financial Services Limited,a27eq00000060IH,,,,India,ODP,,0,0,0,0,0,,2024,,,7/10/2024,6/20/2030,Environmental & Social Compliance Project Evaluation,9000093671,,,0,0,,,,,,Administrative,8/29/2024,,SMEF,,14625000,14625000,1,1,5/15/2020,,Transferred to Monitoring,100,Q3-2020,2020,330,1478,Portfolio,This NBFC will provide loans to Indian students for college education.,0,0,6/20/2019,4/29/2025,,006t0000003IzOd,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,Please revise to reflect change in scope of project to providing student loans only.,Policy Clearance Completed,8d8f918e-b4ec-4aa4-bed7-d38215d0ec4b,32394,,,,SOC-2636,0,11/4/2019,C-Cleared,Clearance Completed,,,,,EN-02636,0,C,11/4/2019,C-Cleared,2019-11-04,Clearance Completed,a21t000000HGgrl,9000093671 Form_008_Submission_Adjustment 2021,,,,,EC-05394,a1It0000006aa1l,Clearance Completed,2019-12-06,12/6/2019,C-Cleared,,62.5,92.81,Developmental,0.1.4,,,0,0,4/12/2021,0,,1,,,,,9000093671,0,0,,,,,,0,,,,3/16/2020,,1/8/2020,,,3/16/2020,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,14625000,1,Lower Middle Income,1,1,,0,0,Warburg Pincus,,SF,,001t0000001ufWE,,,United States,,A-015466
MA - 000086,WBC - Avanse Financial Services Limited,a273d000002O8Zc,,,,India,ODP,,0,0,0,0,0,,2024,,,7/10/2024,6/20/2030,Development Impact Monitoring Review,9000093671,,,0,0,,,,,,Office of Investment Policy,8/16/2024,,SMEF,,14625000,14625000,1,1,5/15/2020,,Transferred to Monitoring,100,Q3-2020,2020,330,1478,Portfolio,This NBFC will provide loans to Indian students for college education.,0,0,6/20/2019,4/29/2025,,006t0000003IzOd,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,Please revise to reflect change in scope of project to providing student loans only.,Policy Clearance Completed,8d8f918e-b4ec-4aa4-bed7-d38215d0ec4b,32394,,,,SOC-2636,0,11/4/2019,C-Cleared,Clearance Completed,,,,,EN-02636,0,C,11/4/2019,C-Cleared,2019-11-04,Clearance Completed,a21t000000HGgrl,9000093671 Form_008_Submission_Adjustment 2021,,,,,EC-05394,a1It0000006aa1l,Clearance Completed,2019-12-06,12/6/2019,C-Cleared,,62.5,92.81,Developmental,0.1.4,,,0,0,4/12/2021,0,,1,,,,,9000093671,0,0,,,,,,0,,,,3/16/2020,,1/8/2020,,,3/16/2020,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,14625000,1,Lower Middle Income,1,1,,0,0,Warburg Pincus,,SF,,001t0000001ufWE,,,United States,,A-015466
MA - 000085,Motilal Oswal Home Finance Limited,a273d000002O8S0,,,,India,ODP,,0,0,0,0,0,,2024,,,7/9/2024,12/15/2036,Development Impact Monitoring Review,9000104432,,,0,0,,,,,,Office of Investment Policy,8/16/2024,,SMEF,,50000000,50000000,1,1,6/1/2021,,Transferred to Monitoring,100,Q3-2021,2021,393,1000,Portfolio,Long term funding for low middle income mortgages throughout India.,0,0,5/4/2020,4/14/2025,,006t0000003QCvz,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,4fa2ef4e-4111-4445-8dd8-fd8fd49b255e,36030,,,,SOC-2846,0,9/16/2020,C-Cleared,Clearance Completed,,,,,EN-02846,0,C,9/16/2020,C-Cleared,2020-09-16,Clearance Completed,a21t000000Et7XS,9000104432-IQ Adjustment Initial Score 2021,,,,,EC-05604,a1It000000ASDfQ,Clearance Completed,2021-01-29,1/29/2021,C-Cleared,,124.7,126,Highly Developmental,0.1.4,,FPKDHWYWFQN4,0,0,8/3/2022,0,,1,,,,,9000104432,0,0,,4/23/2021,,,,0,,,,3/3/2021,,7/16/2020,,,4/23/2021,,,,IC,0,Middle,,India,India,Asia,0,0,0,1,,,386,,1,Lower Middle Income,1,0,,0,0,MOTILAL OSWAL HOME FINANCE LTD,,SF,,001t000000PrejI,,,India,,A-035214
MA - 000071,IndusInd-Waycool Foods and Products Private Limited,a273d000002Fwcl,,,,India,ODP,,0,0,0,0,0,,2023,,,2/28/2023,6/10/2025,Development Impact Monitoring Review,9000093562,,,0,0,,,,,,Office of Investment Policy,7/18/2024,,SMEF,,5500000,5500000,1,1,8/19/2019,,Transferred to Monitoring,100,Q4-2019,2019,164,1664,Portfolio,"Expansion of a food distribution company delivering staples, fruit and vegetables and dairy products.",0,0,3/8/2019,4/23/2025,,006t0000003C6zX,,"Director, Asset Management",,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,92527ba5-58ab-4c6e-8d6f-2649be9bb138,29244,,,,SOC-2589,0,8/9/2019,C-Cleared,Clearance Completed,,,,,EN-02589,0,B,7/2/2019,C-Cleared,2019-07-02,Clearance Completed,a213d000002ZtEt,9000093562-IQ Adjustment Initial Score 2019,,,,,EC-05343,a1It0000005Dced,Clearance Completed,2019-07-26,7/26/2019,C-Cleared,,67.5,133.95,Highly Developmental,0.1.4,,,0,0,10/8/2020,0,,1,,,,,9000093562,0,0,,,,,,0,,,,8/2/2019,,3/25/2019,,,8/2/2019,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,5500000,1,Lower Middle Income,0,1,,0,0,Soros Economic Development Fund,,SF,,001t0000001vbv3,,,USA,,A-018307
MA - 000070,IndusInd Bank - Kinara Capital Private Limited,a273d000002FwI3,,,,India,ODP,,0,0,0,0,0,,2023,,,2/27/2023,10/15/2025,Development Impact Monitoring Review,9000093393,,,0,0,,,,,,Office of Investment Policy,7/18/2024,,SMEF,,11000000,11000000,1,1,9/20/2019,,Transferred to Monitoring,100,Q4-2019,2019,276,1470,Portfolio,"Expansion of micro and small business loan portfolio serving 18,500 clients in southern India.",0,0,12/18/2018,4/14/2025,,006t00000037D2u,,"Managing Director, Financial Institutions Portfolio Management",,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,ed58863b-fe27-4209-b864-48377c3b4f67,27752,,,,SOC-2562,0,6/17/2019,C-Cleared,Clearance Completed,,,,,EN-02562,0,C,6/17/2019,C-Cleared,2019-06-17,Clearance Completed,a21t000000HGgvY,9000093393 Form_008_Submission_Adjustment 2021,,,,,EC-05310,a1It0000004pYWU,Clearance Completed,2019-06-28,6/28/2019,C-Cleared,,67.5,0,Not Scored,0.1.4,,,0,0,4/20/2021,0,,1,,,,,9000093393,0,0,,,,,,0,,,,8/27/2019,,12/18/2018,,,8/27/2019,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,11000000,1,,0,1,,0,0,Kinara Capital,,SF,,001t000000EcaR6,,,United States,,A-033845
MA - 000069,Cholamandalam Investment and Finance Co. Ltd.,a273d000002Fw89,,,,India,ODP,,0,0,0,0,0,,2023,,,3/2/2023,6/19/2028,Development Impact Monitoring Review,9000093498,,,0,0,,,,,,Office of Investment Policy,7/18/2024,,SF,,185000000,185000000,1,1,9/29/2019,,Transferred to Monitoring,100,Q4-2019,2019,230,1477,Portfolio,Vehicle finance onlending for SMEs throughout India targeting underbanked markets. Citi as US Nexus.,0,0,2/11/2019,4/29/2025,,006t0000003Apui,,Senior Investment Officer,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,1f6f818e-9a35-4777-ae5d-09b0d3fa7284,29390,,,,SOC-2577,0,8/16/2019,C-Cleared,Clearance Completed,,,,,EN-02577,0,C,8/16/2019,C-Cleared,2019-08-16,Clearance Completed,a21t000000HGgv9,9000093498 Form_008_Submission_Adjustment 2021,,,,,EC-05331,a1It0000005EP10,Clearance Completed,2019-07-09,7/9/2019,C-Cleared,,67.5,0,Not Scored,0.1.4,,GMJYK3486VS4,0,0,4/13/2021,0,,1,,,,,9000093498,0,0,,8/12/2019,,,,0,9/11/2019,,,8/2/2019,,2/12/2019,,,9/11/2019,,,,Board,0,Low,,India,India,Asia,0,0,1,1,,,386,185000000,1,,0,1,,0,0,"Citibank, N.A.",,SF,,001t0000001uj9l,,,United States,,A-017643
MA - 000054,WBC - Akme Fintrade India Limited,a273d000001Uuk2,,,,India,ODP,,0,0,0,0,0,,2023,,,2/24/2023,12/20/2029,Development Impact Monitoring Review,9000093445,,,0,0,,,,,,,1/22/2024,,SMEF,,7800000,7800000,1,1,7/12/2019,,Transferred to Monitoring,100,Q4-2019,2019,183,1709,Portfolio,Project is the expansion of Akme's MSME loan portfolio,0,0,1/10/2019,4/16/2025,,006t0000002oMzK,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,f325e39f-3ec2-46e1-9cce-12e8b014c17e,27753,,,,SOC-2555,0,4/29/2019,C-Cleared,Clearance Completed,,,,,EN-02555,0,C,4/15/2019,C-Cleared,2019-04-15,Clearance Completed,a21t000000HGgvT,9000093445 Form_008_Submission_Adjustment 2021,,,,,EC-05303,a1It0000004WmhU,Clearance Completed,2019-06-07,6/7/2019,C-Cleared,,82.5,0,Not Scored,0.1.4,,C15BM152HWW3,0,0,8/24/2020,0,,1,,,,,9000093445,0,0,,,,,,0,,,,7/16/2019,,,,,7/16/2019,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,7800000,1,,0,1,,0,0,"WorldBusiness Capital, Inc.",,SF,,001t000000C7bGy,,,United States,,A-033441
MA - 000055,Utkarsh Bank Limited,a273d000001Uujk,,,,India,ODP,,0,0,0,0,0,,2023,,,2/24/2023,,Development Impact Monitoring Review,9000104841,,,0,0,,,,,,,1/22/2024,,Portfolio Company,,5500000,5500000,1,1,1/18/2021,,Consent Letter Completed,100,Q2-2021,2021,35,1539,Portfolio,"The Fund is an Asia focused growth equity fund targeting a variety of sectors including healthcare, energy, and financial services.",0,0,12/14/2020,10/22/2024,,006t0000004F8NR,,Managing Director,,Office of Investment Funds (OIF),,Equity - Funds,1,,Policy Clearance Completed,ab497eab-0402-4477-b2eb-de57e59353f6,41502,,,,SOC-2924,0,1/14/2021,C-Cleared,Clearance Completed,,,,,EN-02925,0,C,1/14/2021,C-Cleared,2021-01-14,Clearance Completed,a21t000000Et6aL,9000104841-IQ Adjustment Initial Score 2021,,,,,EC-05682,a1It000000B1yg5,Clearance Completed,2021-01-21,1/21/2021,C-Cleared,,,0,Not Scored,0.1.4,,,0,0,,0,,1,,,,,9000104841,0,0,,,,,,0,,,,,,,,,,,,,Sub-IC,0,Middle,,India,India,Asia,0,0,0,1,2/10/2021,,386,,1,Lower Middle Income,1,0,"Jan 2024: Updated reporting count to 1, because project received FY22 DOS.",0,0,OLYMPUS CAPITAL HOLDINGS ASIA,,,,0017000001BzERZ,HONG KONG,,United States,LHOLDINGSAOLYMPUSCAP,A-006755
MA - 000053,IndusInd Bank Limited,a273d000001UuHK,,,,India,ODP,,0,0,0,0,0,,2023,,,3/2/2023,9/14/2026,Development Impact Monitoring Review,9000072966,,,0,0,,,,,,,1/22/2024,,SF,,100000000,100000000,1,1,9/15/2018,,Transferred to Monitoring,100,Q4-2018,2018,218,2178,Portfolio,Loan proceeds to be used to expand Bank's microfinance lending to women.,0,0,2/9/2018,4/8/2025,,006t0000002gXjQ,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,75c18758-7545-4720-a04c-7b7bafe3af08,18913,,,,SOC-2340,0,5/21/2018,C-Cleared,Clearance Completed,,,,,EN-02340,0,C,4/30/2018,C-Cleared,2018-04-30,Clearance Completed,a21t000000HGgxU,9000072966 Form_008_Submission_Adjustment 2021,,,,,EC-04901,a1It0000000HFHr,Clearance Completed,2018-05-02,5/2/2018,C-Cleared,,80,0,Not Scored,0.1.4,,,0,0,5/13/2019,0,,1,,,,,9000072966,0,0,,5/15/2018,,,,0,6/14/2018,6/14/2018,,5/1/2018,,2/23/2018,,,6/14/2018,,,,Board,0,Low,,India,India,Asia,0,0,1,1,,,386,100000000,1,,0,1,"Updated reporting count and project relationship January, 2023",0,0,Multiple U.S. shareholders,,SF,,001t0000004hILQ,,,NA,,A-001072
MA - 000052,Caspian Impact Investments,a273d000001UtPR,,,,India,ODP,,0,0,0,0,0,,2023,,,3/1/2023,1/20/2022,Development Impact Monitoring Review,9000003650,,,0,0,,,,,,,1/22/2024,,SMEF,,20000000,20000000,1,1,3/31/2014,,Closed Out,100,Q2-2014,2014,0,154,Omitted,Debt investments in Indian microfinance and impact investing sectors,0,0,7/15/2015,1/23/2025,,006t0000001dssH,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,,Policy Clearance Completed,971E0220-E9DC-4610-8C0A-2CAABFFF68DF,,,,,LHR-2012,0,12/11/2013,C-Cleared,Clearance Completed,,,"Projects involving general capital for microfinance, SME and small agriculture value chain projects are screened as Category C projects for the purposes of environmental and social assessment because environmental, health, safety and social concerns are generally minimal.  However, in order to insure that the Borrower’s loans are consistent with OPIC’s statutory and policy requirements the loan will be subject to conditions regarding use of proceeds.    CII has an environmental and social management system in place and policies and procedures are integrated into its credit policies.  CII has an adequate grievance mechanism in place.",BOOMGARD,EN-02012,0,C,12/16/2013,C-Cleared,2013-12-16,Clearance Completed,a21t000000EtA86,9000003650 Form_008_Submission_Adjustment 2020,Clearance Completed,,,"This project will have a significant developmental impact on India. The proceeds of the transaction will be used to finance an Indian debt fund that will lend to financial institutions in four target sectors:  microfinance, SMEs, affordable housing and agriculture.  The transaction is an opportunity to help bridge an existing credit gap in India by offering longer term tenors to fund investments in the informal and underserved sectors.  The project’s investments will help improve access to financial services for low income, rural and women borrowers, generate jobs, promote transparent and responsible lending, provide access to affordable housing and enhance outreach efforts on behalf of small agricultural producers. The project’s development impact will also include technical assistance to financial institutions and adoption of management best practices by the investees in the portfolio, particularly involving social and environmental performance assessments.",EC-02685,,Clearance Completed,2014-02-05,2/5/2014,C-Cleared,,35,0,Not Scored,0.1.4,,,0,0,8/20/2015,0,,1,,,,,9000003650,0,0,,,,,,0,,,,3/26/2014,,9/25/2013,,,3/26/2014,,,,Sub-IC,0,Low,,India,,Asia,0,0,1,1,,,386,,1,,0,1,,0,0,Grassroots Capital Management PBC,,SF,,001t000000HT3a6,,,United States,,A-034201
MA - 000050,WBC - Avanse Financial Services Limited,a273d000001UtKX,,,,India,ODP,,0,0,0,0,0,,2023,,,2/22/2023,6/20/2030,Development Impact Monitoring Review,9000093671,,,0,0,,,,,,,1/22/2024,,SMEF,,14625000,14625000,1,1,5/15/2020,,Transferred to Monitoring,100,Q3-2020,2020,330,1478,Portfolio,This NBFC will provide loans to Indian students for college education.,0,0,6/20/2019,4/29/2025,,006t0000003IzOd,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,Please revise to reflect change in scope of project to providing student loans only.,Policy Clearance Completed,8d8f918e-b4ec-4aa4-bed7-d38215d0ec4b,32394,,,,SOC-2636,0,11/4/2019,C-Cleared,Clearance Completed,,,,,EN-02636,0,C,11/4/2019,C-Cleared,2019-11-04,Clearance Completed,a21t000000HGgrl,9000093671 Form_008_Submission_Adjustment 2021,,,,,EC-05394,a1It0000006aa1l,Clearance Completed,2019-12-06,12/6/2019,C-Cleared,,62.5,92.81,Developmental,0.1.4,,,0,0,4/12/2021,0,,1,,,,,9000093671,0,0,,,,,,0,,,,3/16/2020,,1/8/2020,,,3/16/2020,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,14625000,1,Lower Middle Income,1,1,,0,0,Warburg Pincus,,SF,,001t0000001ufWE,,,United States,,A-015466
MA - 000051,Caspian Impact Investments II,a273d000001UshM,,,,India,ODP,,0,0,0,0,0,,2023,,,3/1/2023,6/15/2030,Development Impact Monitoring Review,9000093642,,,0,0,,,,,,,1/22/2024,,SMEF,,20000000,20000000,1,1,2/28/2020,,Transferred to Monitoring,100,Q2-2020,2020,287,1651,Portfolio,"Follow on loan portfolio growth facility. Proceeds will be down-streamed to MFIs, SME lenders and other high impact businesses",0,0,5/17/2019,3/19/2025,,006t0000003FAT9,,Portfolio Monitoring Specialist,,Office of Financial And Portfolio Management (OFPM),,OPIC Portfolio Monitoring,1,see email from 8/7,Policy Clearance Completed,ce7fd0f5-2f49-4d1b-a523-08a8ec3f4111,32254,,,,SOC-2625,0,9/6/2019,C-Cleared,Clearance Completed,,,,,EN-02625,0,C,9/6/2019,C-Cleared,2019-09-06,Clearance Completed,a21t000000Et8NY,9000093642-IQ Adjustment Initial Score 2020,,,,,EC-05383,a1It00000065OxT,Clearance Completed,2019-12-06,12/6/2019,C-Cleared,,87.5,124.74,Highly Developmental,0.1.4,,,0,0,10/21/2020,0,,1,,,,,9000093642,0,0,,1/24/2020,,,,0,,,,12/18/2019,,6/14/2019,,,12/18/2019,,,,Sub-IC,0,Low,,India,India,Asia,0,0,1,1,,,386,20000000,1,Lower Middle Income,1,1,,0,0,Grassroots Capital Management PBC,,SF,,001t000000HT3a6,,,United States,,A-034201
